Brand,Name,Product,Review,Grade
MAC,GOD SAVE THE SHEEN,Lipgloss,"a light-medium lavender with warm, pink undertones and fine pink, lavender, and gold pearl. It had semi-sheer color coverage (and it was described as �sheer�) that applied evenly, though there was some of the milkier base that pulled into my lip lines. It wasn�t noticeable from a normal viewing distance, thankfully! The texture was lightweight (but more medium in consistency) with moderate tackiness but was comfortable to wear. The color stayed on well for four hours and was moisturizing.",B+
MAC,BUZZ CUT,Lipgloss,"a milky, translucent base with flecks of pink and white sparkle. It had semi-sheer to medium �coverage� (peek my lip freckle barely showing!) between the milkiness of the base along with the sparkle/shimmer. For as milky as it was, it didn�t emphasize my lip lines quite as much as I expected, and the amount of shininess and sparkliness helped distract from that at a normal viewing distance. The texture was smooth, spreadable, and lightweight despite having a more light-medium thickness (and moderate tackiness). It wore well for three and a half hours and was lightly hydrating.
",B
MAC,I AM TOO SMART,Lipgloss,"a soft beige base with lots of multi-colored pearl dominated by gold. The gloss applied evenly and smoothly across my lips without settling into my lip lines, so it made my lips appear fuller and plumper. It had semi-sheer to medium color coverage between the base color and shimmer, but I�d say a lot of the �coverage� came from the shimmer. The consistency was noticeably tacky but comfortable to wear, as it wasn�t too heavy on. It lasted well for four hours and was moisturizing over time.
",B+
TOM FORD BEAUTY,AFRICAN VIOLET,Palette,"a new, permanent palette that includes a pop of purple, copper-gold, soft brown, and rich orange-red. I liked how the colors came together in a look, though I wouldn�t consider it overly versatile�like I�m not seeing lots of variations of looks with these four shades. The only shade I had any trouble with was the sparkly shade (#2), which was about as expected based on past experience with Tom Ford�s quads that often include a glitter finish shade that still has room for improvement.",B+
NARS,SINGAPORE,Palette,"a new set of warm-toned shades�three of which have some sort of sparkle�that coordinated well with each other in terms of color/undertone. This quad is going to be better suited for someone who likes to use their eyeshadows with a dampened brush, fingertips, or an adhesive base as one shade required that and one improved noticeably (two were good over bare skin).",B-
MAC,AUDIBLE,Lipgloss,"a medium, peachy orange with very fine, gold pearl over a cream finish. It was more of a cream finish than a shimmery gloss, though. It had good color coverage in a single layer that applied evenly without streaking, but the downside was there was some product that pulled into my deeper lip lines. The shinier finish helped to make that appear less noticeable from a normal viewing distance. The consistency was smooth, light-medium in thickness with a lightweight feel, and had moderate tackiness. It lasted well for five hours and was lightly hydrating over time.
",B+
MAC,BRACELETS GALORE,Lipgloss,"a bright, medium-dark fuchsia pink with very subtle, cool undertones and cooler pink sparkle and pearl. It had semi-sheer color payoff in a single layer, and this shade was described as �sheer� by the brand, so it wasn�t too far off. The gloss had a lightweight feel, but it was thicker than the average gloss with moderate stickiness, which helped to stay in place longer. Some of the color sank into my lip lines and was only noticeable from a normal viewing distance after the gloss started to wear down (when the shine dissipated). It wore well for five hours and was moisturizing over time.",B+
MAC,DEEP SET,Lipgloss,"a deep, purplish-plum with subtle, warm undertones and multi-colored pearl�it primarily flashed green and teal to my eye. It had semi-opaque pigmentation that applied evenly across my lips and didn�t emphasize my lip lines. The texture was noticeably tacky but spread easily across my lips and was comfortable to wear as it was lightweight, despite feeling thicker. It stayed on well for five hours and was hydrating while worn.",A-
ESSENCE,BE MY SUNLIGHT,Highlighter,"a soft, golden peach with warm undertones and a metallic sheen. It had semi-opaque, buildable pigmentation paired with a soft, slightly dusty consistency that had a bit of excess powder that kicked up in the pan, but it ended up applying quite well to bare skin. I worried the powder was going to be drier or go on unevenly on my cheeks, but the highlighter applied evenly, blended out easily along the edges, and did not appear dry/dusty on. It lasted nicely for eight hours on me before it started to show signs of fading.
",A-
DIOR,VOLCANIC,Palette,"a new, limited edition palette featuring five shades. The color combination was more on the unexpected side, so it was fun to try pairing much warmer tones with cooler silver/gray shades. Most of the shades had good pigmentation and longevity with easy application as they went on evenly and blended out nicely.",A-
MAC,RAVER GIRL,Palette,"a new, permanent palette (per MAC�s website) featuring eight eyeshadows and one highlighter. The more shimmery shades have a denser, thicker consistency that�s firmer and tends to apply best with fingertips or dampened brushes (improves adhesion/spread). For me, I like the creamier, more silicone-heavy shimmers but when they get too heavy, they don�t apply as well with brushes and typical techniques and can sometimes look thick or accentuate lid texture. The mattes in the palette are softer and more yielding compared to mattes in their permanent range.",B
TOM FORD BEAUTY,MASON,Lipstick,"a medium pink with subtle, cool undertones and a cream finish. It had good color coverage, though it wasn�t opaque in a single layer and the more emollient consistency didn�t make it that buildable (without getting streaking). The texture was lightweight and lightly creamy, which made it comfortable to apply and to wear. It lasted nicely for four and a half hours on me and was hydrating over time.",B+
TOM FORD BEAUTY,KENDRICK,Lipstick,"a vibrant, medium pink-coral with warm undertones and a cream finish. It had nearly opaque pigmentation with a lightly creamy consistency that glided across my lips with ease but did not slide around when worn. The formula seemed to smooth out most of my lip lines as well. The lipstick stayed on well for five hours and was hydrating while worn.",A
ESSENCE,BE MY COSMOLIGHT,Highlighter,"a pale green with strong, warm undertones and a shifting finish that went from minty green to greenish-gold. It had nearly opaque pigmentation with a smooth, soft consistency that was a smidgen dusty in the pan but applied well to bare skin without sheering out too readily (but still diffused nicely along the edges for a seamless finish). It had a more metallic finish, though it could be applied at semi-sheer to medium coverage to get a more natural finish out of it. This shade stayed on well for eight hours on me before fading a bit.",A
CIATE,JEWELLED,Palette,"a new, limited edition peach and berry-themed palette. There were four mattes and five shimmers, though I could have used a bit more contrast out of the mattes (Quartz and Phlox could be further apart in depth). The quality was good across eight of the nine shades with the only miss being Paradise, which was more of a layering/glittery top coat.",B+
